Date	N	fmd	fmrr	fmrrnd	od	orr	orrnd	aql
2012-02-13	860	17	0.0198	0.02	23	0.0267	0.03	Pass
2012-02-15	1368	15	0.011	0.01	20	0.0146	0.01	Pass
2012-02-17	1250	12	0.0096	0.01	19	0.0152	0.02	Pass
2012-02-22	1550	11	0.0071	0.01	16	0.0103	0.01	Pass
2012-02-24	1442	20	0.0139	0.01	33	0.0229	0.02	Pass
2012-02-27	1604	20	0.0125	0.01	35	0.0218	0.02	Pass
2012-03-15	1416	11	0.0078	0.01	18	0.0127	0.01	Pass
2012-03-21	1507	18	0.0119	0.01	35	0.0232	0.02	Pass
2012-03-30	1677	27	0.0161	0.02	34	0.0203	0.02	Pass
2012-04-04	1597	14	0.0088	0.01	28	0.0175	0.02	Pass
2012-04-11	1705	33	0.0194	0.02	64	0.0375	0.04	Fail
2012-04-16	1716	19	0.0111	0.01	32	0.0186	0.02	Pass
2012-09-14	1713	58	0.0339	0.03	105	0.0613	0.06	Pass
2012-09-18	1552	29	0.0187	0.02	74	0.0477	0.05	Pass
2012-10-16	1717	53	0.0309	0.03	86	0.0501	0.05	Pass
2012-10-24	1715	33	0.0192	0.02	71	0.0414	0.04	Pass
2012-11-02	1294	19	0.0147	0.01	78	0.0603	0.06	Pass
2012-11-06	1726	45	0.0261	0.03	126	0.073	0.07	Pass
2012-11-15	1798	35	0.0195	0.02	142	0.079	0.08	Pass
2012-11-20	1792	85	0.0474	0.05	172	0.096	0.1	Fail
2012-11-27	1718	44	0.0256	0.03	68	0.0396	0.04	Pass
2012-12-05	1722	26	0.0151	0.02	71	0.0412	0.04	Pass
2013-05-18	1354	21	0.0155	0.02	61	0.0451	0.05	Pass
2013-05-20	1477	31	0.021	0.02	65	0.044	0.04	Pass
2013-05-28	1624	50	0.0308	0.03	83	0.0511	0.05	Pass
2013-05-29	1633	72	0.0441	0.04	123	0.0753	0.08	Pass

