Assay	Level	Replicate	Injection	Amount
A	80	1	1	40.43
A	80	1	2	40.44
A	80	2	1	39.60
A	80	2	2	39.64
A	80	3	1	39.86
A	80	3	2	40.00
A	100	1	1	40.23
A	100	1	2	40.38
A	100	2	1	39.37
A	100	2	2	39.99
A	100	3	1	39.81
A	100	3	2	39.97
A	120	1	1	40.33
A	120	1	2	40.44
A	120	2	1	39.93
A	120	2	2	40.23
A	120	3	1	40.30
A	120	3	2	40.41
B	80	1	1	39.66
B	80	1	2	39.69
B	80	2	1	39.66
B	80	2	2	39.60
B	80	3	1	39.77
B	80	3	2	39.81
B	100	1	1	39.80
B	100	1	2	39.77
B	100	2	1	39.82
B	100	2	2	39.87
B	100	3	1	39.78
B	100	3	2	39.79
B	120	1	1	39.87
B	120	1	2	39.88
B	120	2	1	39.76
B	120	2	2	39.83
B	120	3	1	39.68
B	120	3	2	39.70
C	80	1	1	39.74
C	80	1	2	39.72
C	80	2	1	39.82
C	80	2	2	39.82
C	80	3	1	39.69
C	80	3	2	39.72
C	100	1	1	39.61
C	100	1	2	39.60
C	100	2	1	39.48
C	100	2	2	39.56
C	100	3	1	39.65
C	100	3	2	39.65
C	120	1	1	39.87
C	120	1	2	39.82
C	120	2	1	39.59
C	120	2	2	39.57
C	120	3	1	39.65
C	120	3	2	39.63
