,Wilson,,,,Jeffrey,,,,Clopper-Pearson,,,,Continuity corrected Wilson,,
Nominal Coverage,0.9,0.95,0.99,,0.9,0.95,0.99,,0.9,0.95,0.99,,0.9,0.95,0.99
Critical,14,16,18,,14,15,18,,15,16,19,,15,17,19
Major,69,72,78,,69,72,77,,70,72,78,,70,73,78
Minor,45,47,51,,44,47,51,,45,47,52,,45,48,52
,,,,,,,,,,,,,,,
Actual Coverage,,,,,,,,,,,,,,,
Critical,0.93,0.95,0.95,,0.93,0.95,0.95,,0.93,0.95,0.95,,0.95,0.95,0.95
Major,0.83,0.83,0.86,,0.83,0.83,0.86,,0.83,0.83,0.86,,0.83,0.86,0.86
Minor,0.9,0.9,0.93,,0.88,0.9,0.93,,0.9,0.9,0.93,,0.9,0.9,0.93
,,,,,,,,,,,,,,,
Note: All interval results reported with 95% confidence,,,,,,,,,,,,,,,
