Batch Record Title,Part No. Prefix,Part No.,Lot No.,Date of Fill,Acceptably Filled Vials Received by VI,Foreign Matter Defects ID'd During Sample and Bulk Inspection,Foreign Matter Only Reject Rate (%),Reported Foreign Matter Only Reject Rate,Overall Defects ID'd During Sample and Bulk Inspection,Overall Inspection Reject Rate (%),Reported Overall Inspection Reject Rate,AQL Pass or Fail
"IGIV, 100 mL Vials",4-CO-,005,120001,13-Feb-12,860,17,1.98%,2%,23,2.67%,3%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120003,15-Feb-12,1368,15,1.10%,1%,20,1.46%,1%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120005,17-Feb-12,1250,12,0.96%,1%,19,1.52%,2%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120007,22-Feb-12,1550,11,0.71%,1%,16,1.03%,1%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120009,24-Feb-12,1442,20,1.39%,1%,33,2.29%,2%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120011,27-Feb-12,1604,20,1.25%,1%,35,2.18%,2%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120013,15-Mar-12,1416,11,0.78%,1%,18,1.27%,1%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120015,21-Mar-12,1507,18,1.19%,1%,35,2.32%,2%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120017,30-Mar-12,1677,27,1.61%,2%,34,2.03%,2%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120019,04-Apr-12,1597,14,0.88%,1%,28,1.75%,2%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120021,11-Apr-12,1705,33,1.94%,2%,64,3.75%,4%,Fail
"IGIV, 100 mL Vials",4-CO-,005,120023,16-Apr-12,1716,19,1.11%,1%,32,1.86%,2%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120025,14-Sep-12,1713,58,3.39%,3%,105,6.13%,6%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120027,18-Sep-12,1552,29,1.87%,2%,74,4.77%,5%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120029,16-Oct-12,1717,53,3.09%,3%,86,5.01%,5%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120031,24-Oct-12,1715,33,1.92%,2%,71,4.14%,4%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120033,02-Nov-12,1294,19,1.47%,1%,78,6.03%,6%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120035,06-Nov-12,1726,45,2.61%,3%,126,7.30%,7%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120037,15-Nov-12,1798,35,1.95%,2%,142,7.90%,8%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120039,20-Nov-12,1792,85,4.74%,5%,172,9.60%,10%,Fail
"IGIV, 100 mL Vials",4-CO-,005,120041,27-Nov-12,1718,44,2.56%,3%,68,3.96%,4%,Pass
"IGIV, 100 mL Vials",4-CO-,005,120043,05-Dec-12,1722,26,1.51%,2%,71,4.12%,4%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130010,18-May-13,1354,21,1.55%,2%,61,4.51%,5%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130008,20-May-13,1477,31,2.10%,2%,65,4.40%,4%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130136,22-May-13,1487,139,9.35%,,186,12.51%,12%,Fail
"IGIV, 100 mL Vials",4-CO-,005,130012,24-May-13,1630,87,5.34%,5%,118,7.24%,7%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130018,28-May-13,1624,50,3.08%,3%,83,5.11%,5%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130020,29-May-13,1633,72,4.41%,4%,123,7.53%,8%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130022,31-May-13,1546,25,1.62%,2%,59,3.82%,4%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130024,03-Jun-13,1491,19,1.27%,1%,35,2.35%,2%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130026,04-Jun-13,1349,26,1.93%,2%,51,3.78%,4%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130028,05-Jun-13,1646,34,2.07%,2%,75,4.56%,4%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130032,06-Jun-13,1742,53,3.04%,3%,102,5.86%,6%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130034,20-Jun-13,1734,60,3.46%,3%,109,6.29%,6%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130036,21-Jun-13,1494,182,12.18%,12%,211,14.12%,14%,Fail
"IGIV, 100 mL Vials",4-CO-,005,130038,27-Jun-13,1771,51,2.88%,3%,73,4.12%,4%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130040,28-Jun-13,1650,97,5.88%,6%,126,7.64%,7%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130042,08-Jul-13,1809,82,4.53%,4%,104,5.75%,6%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130048,09-Jul-13,1820,43,2.36%,2%,77,4.23%,4%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130052,16-Jul-13,1725,34,1.97%,2%,82,4.75%,5%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130054,22-Jul-13,1634,41,2.51%,3%,78,4.77%,5%,Pass
"IGIV, 100 mL Vials",4-CO-,005,130064,02-Aug-13,1649,47,2.85%,3%,84,5.09%,5%,Pass
