Rm	Date	part_5
142	39819	2
142	39819	1
144	39819	2
144	39819	5
144	39819	0
146	39819	4
146	39819	5
146	39819	0
147	39819	2
147	39819	3
158	39819	1
142	39820	0
142	39820	0
142	39820	0
142	39820	0
142	39821	5
142	39821	0
143	39821	3
144	39821	3
144	39821	8
144	39821	10
146	39821	1
146	39821	0
146	39821	1
146	39821	2
146	39821	0
146	39821	0
147	39821	4
147	39821	1
147	39821	8
147	39821	2
147	39822	3
147	39822	22
147	39822	1
147	39822	3
146	39825	8
146	39825	3
146	39825	1
146	39825	2
146	39825	1
146	39825	3
142	39826	3
142	39826	4
142	39826	2
142	39826	1
158	39826	0
142	39828	1
142	39828	9
146	39828	2
146	39828	0
146	39828	0
142	39829	0
142	39829	0
142	39829	0
142	39829	0
143	39829	2
144	39829	6
144	39829	13
144	39829	2
146	39829	1
146	39829	5
146	39829	1
146	39832	2
146	39832	8
146	39832	0
146	39832	5
146	39832	4
146	39832	0
146	39832	2
146	39832	8
146	39832	0
146	39832	5
146	39832	4
146	39832	0
142	39833	2
142	39833	0
142	39833	1
142	39833	1
146	39833	0
146	39833	1
146	39833	0
146	39833	4
146	39833	3
146	39833	1
147	39834	2
147	39834	3
147	39834	12
147	39834	1
158	39834	3
143	39835	1
144	39835	4
144	39835	6
144	39835	5
142	39836	0
142	39836	1
142	39836	0
142	39836	1
143	39836	3
144	39836	4
144	39836	2
144	39836	5
146	39836	1
146	39836	1
146	39836	1
146	39836	2
146	39836	0
146	39836	0
147	39836	0
147	39836	1
147	39836	1
147	39836	1
142	39839	2
142	39839	3
142	39839	1
142	39839	1
142	39839	2
142	39839	0
142	39839	0
142	39839	1
146	39839	1
146	39839	4
146	39839	0
146	39839	3
146	39839	6
146	39839	0
147	39840	1
147	39840	1
147	39840	0
147	39840	0
143	39841	38
144	39841	27
144	39841	112
144	39841	74
146	39841	3
146	39841	3
146	39841	3
146	39841	2
146	39841	1
146	39841	4
147	39841	9
147	39841	3
147	39841	1
147	39841	2
146	39842	3
146	39842	5
146	39842	1
146	39842	5
146	39842	0
146	39842	1
158	39842	1
142	39843	0
142	39843	0
142	39843	1
142	39843	1
142	39843	1
142	39843	3
142	39843	3
142	39843	4
143	39843	3
144	39843	6
144	39843	8
144	39843	16
146	39843	0
146	39843	1
146	39843	0
146	39843	0
146	39843	1
146	39843	1
146	39843	0
146	39843	0
146	39843	0
146	39843	0
146	39843	1
146	39843	1
142	39846	1
142	39846	2
142	39846	0
142	39846	0
142	39847	1
142	39847	0
142	39847	1
142	39847	0
142	39848	0
142	39848	0
142	39848	1
142	39848	1
142	39848	0
142	39848	0
143	39849	2
144	39849	7
144	39849	14
144	39849	6
146	39849	10
146	39849	9
146	39849	7
146	39849	4
146	39849	8
146	39849	3
147	39849	10
147	39849	7
142	39850	1
142	39850	1
142	39850	0
142	39850	3
143	39850	2
144	39850	6
144	39850	16
144	39850	3
147	39850	0
147	39850	1
158	39850	1
142	39853	0
142	39853	0
142	39853	1
142	39853	1
158	39853	1
