Rm Date	TAMC
142	39819	0
142	39819	0
142	39819	0
142	39819	0
142	39819	0
144	39819	0
144	39819	0
144	39819	0
144	39819	0
144	39819	1
144	39819	0
144	39819	0
144	39819	0
145	39819	0
145	39819	0
145	39819	0
146	39819	0
146	39819	0
146	39819	0
146	39819	0
146	39819	0
146	39819	0
147	39819	0
147	39819	0
147	39819	0
147	39819	0
147	39819	0
147	39819	0
147	39819	0
147	39819	1
158	39819	0
158	39819	0
158	39819	0
142	39820	0
142	39820	0
142	39820	0
142	39820	0
142	39820	0
142	39820	0
142	39820	0
142	39820	0
142	39820	0
142	39820	0
142	39821	0
142	39821	0
142	39821	0
142	39821	0
142	39821	0
143	39821	0
143	39821	0
143	39821	0
144	39821	0
144	39821	0
144	39821	0
144	39821	0
144	39821	0
144	39821	0
144	39821	0
144	39821	0
146	39821	0
146	39821	0
146	39821	0
146	39821	0
146	39821	0
146	39821	0
146	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
147	39821	0
141	39822	0
141	39822	0
141	39822	0
141	39822	0
141	39822	0
147	39822	0
147	39822	0
147	39822	0
147	39822	0
147	39822	0
147	39822	0
147	39822	0
147	39822	0
147	39822	0
147	39822	0
147	39822	0
147	39822	0
147	39822	0
147	39822	0
147	39822	0
147	39822	0
141	39825	0
141	39825	0
141	39825	0
141	39825	0
141	39825	0
146	39825	0
146	39825	0
146	39825	0
146	39825	0
146	39825	0
146	39825	0
146	39825	0
146	39825	0
146	39825	0
146	39825	0
142	39826	0
142	39826	0
142	39826	0
142	39826	0
142	39826	0
142	39826	0
142	39826	0
142	39826	0
142	39826	0
142	39826	0
142	39826	0
142	39826	0
142	39826	0
142	39826	0
142	39826	0
158	39826	0
158	39826	0
158	39826	0
142	39828	0
142	39828	0
142	39828	0
142	39828	0
142	39828	0
146	39828	0
146	39828	0
146	39828	0
146	39828	0
146	39828	0
146	39828	0
146	39828	0
142	39829	0
142	39829	0
142	39829	0
142	39829	0
142	39829	0
142	39829	0
142	39829	0
142	39829	0
142	39829	0
142	39829	0
143	39829	0
143	39829	0
143	39829	0
144	39829	0
144	39829	0
144	39829	1
144	39829	0
144	39829	0
144	39829	0
144	39829	0
144	39829	0
146	39829	0
146	39829	0
146	39829	0
146	39829	0
146	39829	0
146	39829	0
146	39829	0
146	39832	0
146	39832	0
146	39832	0
146	39832	0
146	39832	0
146	39832	0
146	39832	0
146	39832	0
146	39832	0
146	39832	0
146	39832	0
146	39832	0
146	39832	0
146	39832	0
141	39833	0
141	39833	0
141	39833	0
141	39833	0
141	39833	0
142	39833	0
142	39833	0
142	39833	0
142	39833	0
142	39833	0
142	39833	0
142	39833	0
142	39833	0
142	39833	0
142	39833	0
146	39833	0
146	39833	0
146	39833	0
146	39833	1
146	39833	0
146	39833	0
146	39833	0
146	39833	0
146	39833	0
146	39833	0
146	39833	0
146	39833	0
146	39833	0
146	39833	0
147	39834	0
147	39834	0
147	39834	0
147	39834	0
147	39834	0
147	39834	0
147	39834	0
147	39834	0
147	39834	0
147	39834	0
147	39834	0
147	39834	0
147	39834	0
147	39834	0
147	39834	0
147	39834	0
158	39834	0
158	39834	0
158	39834	0
143	39835	0
143	39835	0
143	39835	0
144	39835	0
144	39835	0
144	39835	0
144	39835	0
144	39835	0
144	39835	0
144	39835	0
144	39835	0
145	39835	0
145	39835	0
145	39835	0
146	39835	0
146	39835	0
146	39835	0
146	39835	0
146	39835	0
146	39835	0
146	39835	0
142	39836	0
142	39836	0
142	39836	0
142	39836	0
142	39836	0
142	39836	0
142	39836	0
142	39836	0
142	39836	0
142	39836	0
143	39836	0
143	39836	0
143	39836	0
144	39836	0
144	39836	0
144	39836	0
144	39836	0
144	39836	0
144	39836	0
144	39836	0
144	39836	0
145	39836	0
145	39836	0
145	39836	0
146	39836	0
146	39836	0
146	39836	0
146	39836	0
146	39836	0
146	39836	0
146	39836	0
146	39836	0
146	39836	0
146	39836	0
146	39836	0
146	39836	0
146	39836	0
146	39836	0
147	39836	0
147	39836	0
147	39836	0
147	39836	0
147	39836	0
147	39836	0
147	39836	0
147	39836	0
147	39836	0
147	39836	0
147	39836	0
147	39836	0
147	39836	0
147	39836	0
147	39836	0
147	39836	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
142	39839	0
146	39839	0
146	39839	0
146	39839	0
146	39839	0
146	39839	0
146	39839	0
146	39839	0
146	39839	0
146	39839	0
146	39839	0
146	39839	0
146	39839	0
146	39839	0
146	39839	0
147	39840	0
147	39840	0
147	39840	0
147	39840	0
147	39840	0
147	39840	0
147	39840	0
147	39840	0
147	39840	0
147	39840	0
147	39840	0
147	39840	0
