Rm Date	TYMC
119	39819	0
119	39819	0
160	39819	0
160	39819	0
160	39819	0
160	39819	0
161	39819	0
161	39819	0
161	39819	0
161	39819	0
161	39819	0
161	39819	0
161	39819	0
161	39819	0
161	39819	0
161	39819	0
136	39821	0
130	39822	1
132	39822	0
133	39822	0
137	39822	0
141	39822	0
141	39822	0
141	39825	0
141	39825	0
119	39826	0
119	39826	0
130	39828	0
132	39828	0
133	39828	0
137	39828	0
136	39829	0
153	39829	0
154	39829	0
156	39829	0
136	39832	0
153	39832	0
154	39832	0
156	39832	0
135	39833	0
141	39833	0
141	39833	0
119	39834	0
119	39834	0
160	39835	0
160	39835	0
160	39835	0
160	39835	0
161	39835	0
161	39835	0
161	39835	0
161	39835	0
161	39835	0
161	39835	0
161	39835	0
161	39835	0
161	39835	0
161	39835	0
130	39836	0
132	39836	0
133	39836	0
137	39836	0
130	39839	0
132	39839	0
133	39839	0
137	39839	0
136	39840	0
153	39840	0
154	39840	0
156	39840	0
119	39842	0
119	39842	0
134	39843	0
135	39843	0
141	39843	0
141	39843	0
148	39843	0
148	39843	0
148	39843	0
148	39843	0
160	39843	0
160	39843	0
160	39843	0
160	39843	0
160	39843	0
160	39843	0
160	39843	0
160	39843	0
161	39843	0
161	39843	0
161	39843	0
161	39843	0
161	39843	0
161	39843	0
161	39843	0
161	39843	0
161	39843	0
161	39843	0
160	39846	0
160	39846	0
160	39846	0
160	39846	0
161	39846	0
161	39846	0
161	39846	0
161	39846	0
161	39846	0
161	39846	1
161	39846	0
161	39846	0
161	39846	0
161	39846	0
130	39847	0
132	39847	0
133	39847	0
137	39847	0
161	39847	0
161	39847	0
161	39847	0
161	39847	0
161	39847	0
161	39847	0
161	39847	0
161	39847	0
161	39847	0
161	39847	0
136	39848	0
153	39848	0
154	39848	0
156	39848	0
134	39849	0
135	39849	0
141	39849	0
141	39849	0
119	39850	1
119	39850	0
119	39853	0
119	39853	0
136	39856	0
153	39856	0
154	39856	0
156	39856	0
130	39857	1
132	39857	0
133	39857	0
134	39857	0
135	39857	0
137	39857	0
141	39857	0
141	39857	0
134	39860	0
135	39860	0
141	39860	0
141	39860	0
119	39861	0
119	39861	0
130	39861	0
132	39863	0
133	39863	0
137	39863	0
136	39864	0
148	39864	0
148	39864	0
148	39864	0
148	39864	0
153	39864	0
154	39864	0
156	39864	0
160	39864	0
160	39864	0
160	39864	0
160	39864	0
161	39864	0
161	39864	0
161	39864	0
161	39864	0
161	39864	0
161	39864	0
161	39864	0
161	39864	0
161	39864	0
161	39864	0
130	39867	0
130	39867	0
132	39867	0
133	39867	0
137	39867	0
136	39868	0
153	39868	0
154	39868	0
156	39868	0
130	39869	0
160	39870	0
160	39870	0
160	39870	1
160	39870	0
161	39870	0
161	39870	0
161	39870	0
161	39870	0
161	39870	0
161	39870	0
161	39870	0
161	39870	0
161	39870	0
161	39870	0
119	39871	0
119	39871	0
141	39871	0
141	39871	0
130	39874	0
132	39876	0
137	39876	0
134	39877	0
135	39877	0
141	39877	0
141	39877	0
136	39878	0
148	39878	0
148	39878	0
148	39878	0
156	39878	0
160	39878	0
160	39878	0
160	39878	0
160	39878	0
161	39878	0
161	39878	0
161	39878	0
161	39878	0
161	39878	0
161	39878	0
161	39878	0
161	39878	0
161	39878	0
161	39878	0
160	39881	0
160	39881	0
160	39881	0
160	39881	0
161	39881	1
161	39881	0
161	39881	0
161	39881	0
161	39881	0
161	39881	0
161	39881	0
161	39881	0
161	39881	0
161	39881	0
119	39883	0
119	39883	0
136	39884	0
153	39884	0
154	39884	0
156	39884	0
130	39885	0
132	39885	0
133	39885	0
134	39885	0
135	39885	0
137	39885	0
141	39885	0
141	39885	0
134	39888	0
135	39888	0
148	39890	0
148	39890	0
148	39890	0
148	39890	0
160	39890	0
160	39890	0
160	39890	0
160	39890	0
161	39890	0
161	39890	0
161	39890	0
161	39890	0
161	39890	0
161	39890	0
161	39890	0
161	39890	0
161	39890	0
161	39890	0
132	39891	0
133	39891	0
137	39891	0
119	39892	0
119	39892	0
136	39892	0
153	39892	0
154	39892	0
156	39892	0
136	39895	0
141	39895	0
141	39895	0
153	39895	0
154	39895	0
156	39895	0
134	39896	0
135	39896	0
141	39896	0
141	39896	0
119	39898	1
119	39898	0
130	39899	1
132	39899	0
133	39899	0
137	39899	0
130	39902	0
130	39902	0
132	39902	0
133	39902	0
137	39902	0
136	39903	0
153	39903	0
154	39903	0
156	39903	0
119	39906	0
119	39906	0
141	39906	0
141	39906	0
160	39906	0
160	39906	0
160	39906	0
160	39906	0
161	39906	1
161	39906	0
161	39906	0
161	39906	0
161	39906	0
161	39906	0
161	39906	0
161	39906	0
161	39906	0
161	39906	0
119	39913	0
119	39913	0
119	39913	0
119	39913	0
141	39913	0
141	39913	0
141	39913	8
141	39913	1
119	39923	0
119	39923	0
148	39923	0
130	39925	0
132	39925	0
133	39925	0
137	39925	0
137	39925	0
147B	39925	0
147B	39925	0
141	39926	0
141	39926	0
136	39927	0
136	39927	0
138	39927	0
138	39927	0
139	39927	0
139	39927	0
140	39927	0
140	39927	0
150	39927	0
150	39927	0
151	39927	0
151	39927	0
160	39927	0
160	39927	0
160	39927	0
161	39927	0
161	39927	0
161	39927	0
161	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
164	39927	0
130	39930	0
132	39930	0
133	39930	0
136	39930	0
136	39930	0
137	39930	0
137	39930	0
164	39930	0
164	39930	0
164	39930	0
164	39930	0
164	39930	0
164	39930	0
164	39930	0
164	39930	0
164	39930	0
164	39930	0
164	39931	0
164	39931	0
164	39931	0
164	39931	0
164	39931	0
164	39931	0
164	39931	0
164	39931	0
164	39931	0
164	39931	0
160	39933	0
160	39933	0
160	39933	1
161	39933	0
161	39933	0
161	39933	0
161	39933	0
162	39933	0
162	39933	0
162	39933	0
163	39933	0
163	39933	0
163	39933	0
163	39933	0
163	39933	0
163	39933	0
164	39933	0
164	39933	0
164	39933	0
164	39933	0
164	39933	0
164	39933	0
164	39933	0
164	39933	0
164	39933	0
164	39933	0
147B	39933	0
147B	39933	0
119	39934	0
119	39934	0
119	39934	0
119	39934	0
141	39934	0
141	39934	0
164	39934	0
164	39934	0
164	39934	0
164	39934	0
164	39934	0
164	39934	0
164	39934	0
164	39934	0
164	39934	0
164	39934	0
130	39937	0
132	39937	0
133	39937	0
137	39937	26
137	39937	0
141	39940	0
141	39940	0
136	39941	0
136	39941	0
138	39941	0
138	39941	2
139	39941	0
139	39941	0
140	39941	0
140	39941	0
150	39941	0
150	39941	0
151	39941	0
151	39941	0
160	39941	0
160	39941	0
160	39941	0
161	39941	0
161	39941	0
161	39941	0
161	39941	0
162	39941	0
162	39941	0
162	39941	0
163	39941	0
163	39941	0
163	39941	0
163	39941	0
163	39941	0
163	39941	0
164	39941	0
164	39941	0
164	39941	0
164	39941	0
164	39941	0
147B	39941	0
147B	39941	0
119	39944	0
119	39944	0
138	39944	0
138	39944	0
139	39944	0
139	39944	0
140	39944	0
140	39944	0
150	39944	0
150	39944	0
151	39944	0
151	39944	0
160	39944	0
160	39944	0
160	39944	0
161	39944	0
161	39944	0
161	39944	0
161	39944	0
162	39944	0
162	39944	0
162	39944	0
163	39944	0
163	39944	0
163	39944	0
163	39944	0
163	39944	0
164	39944	0
164	39944	0
164	39944	0
164	39944	0
164	39944	0
147B	39944	0
147B	39944	0
119	39945	0
119	39945	0
130	39945	0
132	39945	0
133	39945	0
136	39945	0
136	39945	0
137	39945	0
137	39945	0
164	39945	0
164	39945	0
164	39945	0
164	39945	0
164	39945	0
164	39945	0
164	39945	0
164	39945	0
164	39945	0
164	39945	0
164	39946	0
164	39946	0
164	39946	0
164	39946	0
164	39946	0
164	39946	0
164	39946	0
164	39946	0
164	39946	0
164	39946	0
164	39947	0
164	39947	0
164	39947	0
164	39947	0
164	39947	0
164	39947	0
164	39947	0
164	39947	0
164	39947	0
164	39947	0
164	39947	0
164	39947	0
164	39947	0
164	39947	0
164	39947	0
130	39948	0
141	39948	0
141	39948	0
141	39948	0
141	39948	0
130	39951	0
141	39951	0
141	39951	0
138	39952	0
138	39952	0
139	39952	0
139	39952	0
140	39952	0
140	39952	0
150	39952	0
150	39952	0
151	39952	0
151	39952	0
160	39952	0
160	39952	0
160	39952	0
161	39952	0
161	39952	0
161	39952	0
161	39952	0
162	39952	0
162	39952	0
162	39952	0
163	39952	0
163	39952	0
163	39952	0
163	39952	0
163	39952	0
163	39952	0
147B	39952	0
147B	39952	0
130	39953	0
132	39953	0
