GRP	ROOM	CLASS	DATE	MEAS	PARAM	SITE	BLOCK	REP	RES
FF	504	ISO8	1/2/2013	TP	0.5	A1	1	1	23
FF	504	ISO8	1/7/2013	TP	0.5	A1	1	1	272
FF	504	ISO8	1/17/2013	TP	0.5	A1	1	1	259
FF	504	ISO8	1/22/2013	TP	0.5	A1	1	1	2
FF	504	ISO8	1/28/2013	TP	0.5	A1	1	1	3
FF	504	ISO8	2/5/2013	TP	0.5	A1	1	1	45
FF	504	ISO8	2/14/2013	TP	0.5	A1	1	1	69
FF	504	ISO8	2/18/2013	TP	0.5	A1	1	1	136
FF	504	ISO8	2/25/2013	TP	0.5	A1	1	1	18
FF	504	ISO8	3/4/2013	TP	0.5	A1	1	1	0
FF	504	ISO8	3/15/2013	TP	0.5	A1	1	1	74
FF	504	ISO8	3/27/2013	TP	0.5	A1	1	1	311
FF	504	ISO8	1/2/2013	TP	5	A1	1	1	2
FF	504	ISO8	1/7/2013	TP	5	A1	1	1	35
FF	504	ISO8	1/17/2013	TP	5	A1	1	1	20
FF	504	ISO8	1/22/2013	TP	5	A1	1	1	0
FF	504	ISO8	1/28/2013	TP	5	A1	1	1	1
FF	504	ISO8	2/5/2013	TP	5	A1	1	1	5
FF	504	ISO8	2/14/2013	TP	5	A1	1	1	6
FF	504	ISO8	2/18/2013	TP	5	A1	1	1	13
FF	504	ISO8	2/25/2013	TP	5	A1	1	1	4
FF	504	ISO8	3/4/2013	TP	5	A1	1	1	0
FF	504	ISO8	3/15/2013	TP	5	A1	1	1	3
FF	504	ISO8	3/27/2013	TP	5	A1	1	1	26
FF	504	ISO8	1/2/2013	TP	0.5	A1	1	2	61
FF	504	ISO8	1/7/2013	TP	0.5	A1	1	2	203
FF	504	ISO8	1/17/2013	TP	0.5	A1	1	2	71
FF	504	ISO8	1/22/2013	TP	0.5	A1	1	2	4
FF	504	ISO8	1/28/2013	TP	0.5	A1	1	2	0
FF	504	ISO8	2/5/2013	TP	0.5	A1	1	2	9
FF	504	ISO8	2/14/2013	TP	0.5	A1	1	2	17
FF	504	ISO8	2/18/2013	TP	0.5	A1	1	2	35
FF	504	ISO8	2/25/2013	TP	0.5	A1	1	2	3
FF	504	ISO8	3/4/2013	TP	0.5	A1	1	2	0
FF	504	ISO8	3/15/2013	TP	0.5	A1	1	2	44
FF	504	ISO8	3/27/2013	TP	0.5	A1	1	2	139
FF	504	ISO8	1/2/2013	TP	5	A1	1	2	7
FF	504	ISO8	1/7/2013	TP	5	A1	1	2	22
FF	504	ISO8	1/17/2013	TP	5	A1	1	2	11
FF	504	ISO8	1/22/2013	TP	5	A1	1	2	2
FF	504	ISO8	1/28/2013	TP	5	A1	1	2	0
FF	504	ISO8	2/5/2013	TP	5	A1	1	2	1
FF	504	ISO8	2/14/2013	TP	5	A1	1	2	3
FF	504	ISO8	2/18/2013	TP	5	A1	1	2	2
FF	504	ISO8	2/25/2013	TP	5	A1	1	2	1
FF	504	ISO8	3/4/2013	TP	5	A1	1	2	0
FF	504	ISO8	3/15/2013	TP	5	A1	1	2	4
FF	504	ISO8	3/27/2013	TP	5	A1	1	2	2
FF	504	ISO8	1/2/2013	TP	0.5	A1	1	3	2
FF	504	ISO8	1/7/2013	TP	0.5	A1	1	3	73
FF	504	ISO8	1/17/2013	TP	0.5	A1	1	3	69
FF	504	ISO8	1/22/2013	TP	0.5	A1	1	3	0
FF	504	ISO8	1/28/2013	TP	0.5	A1	1	3	0
FF	504	ISO8	2/5/2013	TP	0.5	A1	1	3	3
FF	504	ISO8	2/14/2013	TP	0.5	A1	1	3	10
FF	504	ISO8	2/18/2013	TP	0.5	A1	1	3	17
FF	504	ISO8	2/25/2013	TP	0.5	A1	1	3	4
FF	504	ISO8	3/4/2013	TP	0.5	A1	1	3	1
FF	504	ISO8	3/15/2013	TP	0.5	A1	1	3	18
FF	504	ISO8	3/27/2013	TP	0.5	A1	1	3	136
FF	504	ISO8	1/2/2013	TP	5	A1	1	3	1
FF	504	ISO8	1/7/2013	TP	5	A1	1	3	14
FF	504	ISO8	1/17/2013	TP	5	A1	1	3	10
FF	504	ISO8	1/22/2013	TP	5	A1	1	3	0
FF	504	ISO8	1/28/2013	TP	5	A1	1	3	0
FF	504	ISO8	2/5/2013	TP	5	A1	1	3	0
FF	504	ISO8	2/14/2013	TP	5	A1	1	3	1
FF	504	ISO8	2/18/2013	TP	5	A1	1	3	2
FF	504	ISO8	2/25/2013	TP	5	A1	1	3	0
FF	504	ISO8	3/4/2013	TP	5	A1	1	3	0
FF	504	ISO8	3/15/2013	TP	5	A1	1	3	1
FF	504	ISO8	3/27/2013	TP	5	A1	1	3	4
FF	505	ISO8	1/2/2013	TP	0.5	A1	1	1	169
FF	505	ISO8	1/7/2013	TP	0.5	A1	1	1	11
FF	505	ISO8	1/17/2013	TP	0.5	A1	1	1	98
FF	505	ISO8	1/22/2013	TP	0.5	A1	1	1	114
FF	505	ISO8	1/28/2013	TP	0.5	A1	1	1	333
FF	505	ISO8	2/5/2013	TP	0.5	A1	1	1	6
FF	505	ISO8	2/14/2013	TP	0.5	A1	1	1	117
FF	505	ISO8	2/18/2013	TP	0.5	A1	1	1	15
FF	505	ISO8	2/25/2013	TP	0.5	A1	1	1	2
FF	505	ISO8	3/4/2013	TP	0.5	A1	1	1	60
FF	505	ISO8	3/15/2013	TP	0.5	A1	1	1	115
FF	505	ISO8	3/27/2013	TP	0.5	A1	1	1	89
FF	505	ISO8	1/2/2013	TP	5	A1	1	1	13
