Rm	Date	part_0.5
142	39819	27
142	39819	31
144	39819	22
144	39819	114
144	39819	6
146	39819	201
146	39819	117
146	39819	12
147	39819	18
147	39819	94
158	39819	46
142	39820	3
142	39820	6
142	39820	3
142	39820	6
142	39821	268
142	39821	11
143	39821	16
144	39821	26
144	39821	206
144	39821	101
146	39821	12
146	39821	22
146	39821	4
146	39821	190
146	39821	3
146	39821	1
147	39821	93
147	39821	46
147	39821	312
147	39821	267
147	39822	36
147	39822	265
147	39822	25
147	39822	59
146	39825	71
146	39825	35
146	39825	29
146	39825	18
146	39825	9
146	39825	25
142	39826	47
142	39826	71
142	39826	53
142	39826	14
158	39826	2
142	39828	8
142	39828	67
146	39828	31
146	39828	14
146	39828	2
142	39829	0
142	39829	7
142	39829	1
142	39829	5
143	39829	12
144	39829	139
144	39829	303
144	39829	14
146	39829	20
146	39829	77
146	39829	17
146	39832	53
146	39832	228
146	39832	2
146	39832	59
146	39832	112
146	39832	6
146	39832	53
146	39832	228
146	39832	2
146	39832	59
146	39832	112
146	39832	6
142	39833	68
142	39833	10
142	39833	7
142	39833	35
146	39833	18
146	39833	61
146	39833	2
146	39833	68
146	39833	109
146	39833	32
147	39834	44
147	39834	298
147	39834	786
147	39834	12
158	39834	33
143	39835	42
144	39835	55
144	39835	217
144	39835	85
142	39836	3
142	39836	6
142	39836	8
142	39836	14
143	39836	428
144	39836	16
144	39836	122
144	39836	134
146	39836	35
146	39836	7
146	39836	21
146	39836	13
146	39836	8
146	39836	2
147	39836	6
147	39836	10
147	39836	6
147	39836	238
142	39839	14
142	39839	70
142	39839	15
142	39839	52
142	39839	35
142	39839	38
142	39839	12
142	39839	33
146	39839	7
146	39839	76
146	39839	3
146	39839	44
146	39839	46
146	39839	2
147	39840	11
147	39840	30
147	39840	5
147	39840	43
143	39841	361
144	39841	304
144	39841	683
144	39841	713
146	39841	22
146	39841	37
146	39841	90
146	39841	33
146	39841	22
146	39841	260
147	39841	565
147	39841	31
147	39841	14
147	39841	23
146	39842	43
146	39842	272
146	39842	10
146	39842	98
146	39842	3
146	39842	16
158	39842	10
142	39843	29
142	39843	22
142	39843	34
142	39843	32
142	39843	60
142	39843	64
142	39843	45
142	39843	152
143	39843	65
144	39843	706
144	39843	282
144	39843	799
146	39843	8
146	39843	87
146	39843	6
146	39843	13
146	39843	163
146	39843	8
146	39843	8
146	39843	87
146	39843	6
146	39843	13
146	39843	163
146	39843	8
142	39846	12
142	39846	25
142	39846	6
142	39846	10
142	39847	22
142	39847	4
142	39847	22
142	39847	3
142	39848	31
142	39848	2
142	39848	25
142	39848	45
142	39848	31
142	39848	2
143	39849	67
144	39849	67
144	39849	140
144	39849	61
146	39849	128
146	39849	85
146	39849	68
146	39849	79
146	39849	104
146	39849	32
147	39849	89
147	39849	47
142	39850	17
142	39850	16
142	39850	33
142	39850	43
143	39850	190
144	39850	63
144	39850	168
144	39850	44
147	39850	31
147	39850	149
158	39850	5
142	39853	2
142	39853	0
142	39853	3
142	39853	6
158	39853	12
146	39854	17
146	39854	10
146	39854	8
146	39854	25
146	39854	36
146	39854	2
147	39854	249
147	39854	14
142	39855	4
142	39855	145
142	39855	6
142	39855	4
146	39855	16
146	39855	14
146	39855	14
146	39855	39
146	39855	10
146	39855	5
143	39856	9
144	39856	17
144	39856	180
144	39856	18
146	39856	87
146	39856	23
146	39856	6
146	39856	101
146	39856	1
146	39856	9
147	39856	29
147	39856	385
143	39857	91
144	39857	143
144	39857	130
144	39857	73
146	39857	55
146	39857	73
146	39857	17
146	39857	143
146	39857	74
146	39857	30
146	39860	53
146	39860	17
146	39860	31
146	39860	30
146	39860	3
146	39860	22
147	39861	198
147	39861	47
147	39861	121
147	39861	220
158	39861	108
143	39862	183
144	39862	30
144	39862	23
144	39862	57
146	39862	40
146	39862	42
146	39862	14
146	39862	9
146	39862	12
146	39862	18
142	39863	31
142	39863	29
142	39863	3
142	39863	18
143	39863	169
144	39863	24
144	39863	50
144	39863	9
146	39863	28
146	39863	284
146	39863	16
146	39863	21
146	39863	11
146	39863	121
147	39863	89
147	39863	201
147	39863	19
147	39863	31
142	39864	85
142	39864	33
142	39864	2
142	39864	15
142	39864	14
142	39864	82
142	39864	3
142	39864	25
146	39867	5
146	39867	19
146	39867	9
146	39867	22
146	39867	8
146	39867	10
142	39868	6
142	39868	22
142	39868	18
142	39868	171
146	39868	108
146	39868	171
146	39868	55
146	39868	147
146	39868	161
146	39868	17
142	39869	7
142	39869	1
142	39869	5
142	39869	7
143	39869	173
144	39869	244
144	39869	466
144	39869	385
144	39869	244
144	39869	466
144	39869	385
146	39869	220
146	39869	44
146	39869	4
146	39869	194
146	39869	102
146	39869	44
142	39870	85
142	39870	4
142	39870	31
142	39870	2
146	39870	269
146	39870	34
146	39870	12
146	39870	24
146	39870	47
146	39870	269
147	39870	16
147	39870	18
147	39870	144
142	39871	92
142	39871	0
142	39871	45
142	39871	69
143	39871	311
144	39871	103
144	39871	449
144	39871	178
147	39871	98
147	39871	15
158	39871	5
144	39874	50
144	39874	162
144	39874	38
146	39874	43
146	39874	28
146	39874	21
146	39874	31
146	39874	6
146	39874	6
147	39874	365
147	39874	42
158	39874	24
146	39875	98
146	39875	102
146	39875	53
146	39875	160
146	39875	108
146	39875	80
142	39876	11
142	39876	17
142	39876	9
142	39876	7
143	39876	190
143	39876	190
143	39876	190
146	39876	105
146	39876	33
146	39876	27
146	39876	0
146	39876	43
146	39876	7
146	39876	31
146	39876	0
143	39878	128
144	39878	425
144	39878	174
144	39878	162
147	39878	422
147	39878	17
147	39881	20
147	39881	120
147	39881	10
147	39881	82
147	39882	490
147	39882	21
142	39883	2
142	39883	21
142	39883	3
142	39883	70
143	39883	136
144	39883	426
144	39883	4743
144	39883	620
158	39883	55
142	39885	134
142	39885	1
143	39885	174
144	39885	71
144	39885	45
144	39885	46
147	39885	7
147	39885	61
142	39888	9
142	39888	60
142	39888	43
142	39888	37
142	39889	1
142	39889	3
147	39889	75
147	39889	41
147	39889	52
147	39889	111
147	39890	36
147	39890	5
142	39891	73
142	39891	89
142	39891	8
142	39891	29
142	39891	7
142	39891	29
142	39891	73
142	39891	89
143	39891	944
144	39891	366
144	39891	138
144	39891	256
147	39891	164
147	39891	44
143	39892	59
144	39892	34
144	39892	257
144	39892	537
147	39892	48
147	39892	8
147	39892	21
147	39892	20
158	39892	51
146	39895	114
146	39895	139
146	39895	40
146	39895	181
146	39895	245
146	39895	13
147	39895	83
147	39895	3
147	39895	22
147	39895	28
144	39896	44
144	39896	171
144	39896	47
147	39896	51
147	39896	664
147	39896	79
147	39896	14
142	39897	13
142	39897	2
143	39897	68
142	39898	0
142	39898	2
142	39898	6
142	39898	2
142	39898	0
142	39898	140
146	39898	8
146	39898	19
146	39898	4
146	39898	282
146	39898	115
146	39898	8
158	39898	12
146	39899	14
146	39899	12
146	39899	74
146	39899	2
146	39899	7
146	39899	5
147	39902	147
147	39902	33
147	39902	57
147	39902	9
142	39903	20
142	39903	7
143	39903	72
144	39903	19
144	39903	124
144	39903	46
146	39903	19
146	39903	11
146	39903	1
146	39903	18
146	39903	7
146	39903	14
146	39903	13
146	39903	1
146	39903	0
147	39903	13
147	39903	79
142	39905	28
142	39905	62
144	39905	185
144	39905	113
144	39905	63
147	39906	36
147	39906	24
147	39906	127
147	39906	116
158	39906	12
158	39923	218
146	39924	11
146	39924	10
146	39924	10
146	39924	139
146	39924	47
146	39924	5
133	39925	0
142	39925	92
142	39925	247
143	39925	1522
144	39925	3057
144	39925	12338
144	39925	1741
146	39925	294
146	39925	438
146	39925	78
146	39925	57
146	39925	905
146	39925	23
147	39925	757
147	39925	178
147	39925	41
147	39925	273
129	39926	0
142	39926	88
142	39926	318
143	39926	15108
143	39926	15108
144	39926	209
144	39926	660
144	39926	180
146	39926	92
146	39926	897
146	39926	20
146	39926	169
146	39926	630
146	39926	51
147	39926	338
147	39926	200
156	39926	11
146	39927	614
146	39927	2146
146	39927	2
146	39927	179
146	39927	760
146	39927	333
147	39927	230
147	39927	403
147	39927	230
147	39927	0
147	39927	6
147	39927	0
147	39927	403
147	39927	0
147	39927	6
147	39927	8
153	39927	0
153	39927	0
133	39930	0
146	39930	456
146	39930	360
146	39930	77
146	39930	1168
146	39930	1788
146	39930	16
147	39930	1008
147	39930	1205
146	39931	4612
146	39931	2247
146	39931	670
146	39931	1594
146	39931	822
146	39931	1068
147	39931	3724
