Rm	Date	Read1	Read2	Read3	MEAN
131	39925	212	247	124	194
131	39925	335	12	2	116
131	39925	18	43	29	30
133	39925	29	73	54	52
133	39925	54	69	15	46
133	39925	30	26	27	28
143	39925	167	59	54	93
145	39925	212	149	112	158
128	39926	131	59	42	77
129	39926	128	161	123	137
129	39926	76	11	11	33
129	39926	34	38	24	32
143	39926	66	12	13	30
143	39926	66	12	13	30
145	39926	25	100	20	48
152	39926	71	18	7	32
156	39926	15	26	27	23
156	39926	118	287	75	160
134	39927	31	17	20	23
153	39927	103	104	156	121
153	39927	16	5	11	11
153	39927	80	113	73	89
153	39927	522	471	399	464
153	39927	972	1242	1060	1091
153	39927	1063	1073	918	1018
154	39927	136	149	29	105
154	39927	443	218	214	292
164	39927	0	0	0	0
164	39927	0	0	0	0
147A	39927	8	35	11	18
147A	39927	69	53	56	59
131	39930	2	1	14	6
131	39930	1	3	58	21
131	39930	4	17	7	9
132	39930	17	10	25	17
133	39930	115	348	49	171
133	39930	11	8	15	11
133	39930	41	39	18	33
164	39930	0	0	0	0
164	39930	0	0	0	0
147A	39930	41	42	59	47
147A	39930	77	65	1375	506
152	39931	39	114	29	61
153	39931	27	20	39	29
153	39931	22	14	22	19
153	39931	194	109	67	123
154	39931	157	140	30	109
156	39931	22	25	0	16
156	39931	15	1	21	12
164	39931	0	0	0	0
164	39931	0	0	0	0
147A	39931	25	2	5	11
147A	39931	41	9	2	17
143	39932	15	1	22	13
145	39932	70	64	76	70
145	39932	538	192	73	268
147	39933	62	15	21	33
147	39933	50	19	9	26
164T	39933	0	0	0	0
164T	39933	0	0	0	0
126	39934	151	100	122	124
127	39934	51	150	27	76
127	39934	46	19	8	24
127	39934	66	15	9	30
143	39934	763	275	181	406
145	39934	194	86	242	174
157	39934	61	126	99	95
159	39934	9	2	1	4
159	39934	49	4	1	18
164	39934	12	10	1	8
164	39934	2	0	0	1
147A	39934	265	214	202	227
147A	39934	268	150	63	160
128	39935	159	127	74	120
129	39935	196	306	178	227
129	39935	598	533	165	432
129	39935	57	4	3	21
134	39935	268	120	76	155
135	39935	1076	419	186	560
135	39935	36	70	31	46
135	39935	53	31	38	41
131	39937	8	2	3	4
131	39937	24	79	36	46
131	39937	32	14	4	17
132	39937	75	32	18	42
133	39937	14	18	6	13
133	39937	32	7	6	15
133	39937	50	29	13	31
126	39938	150	281	185	205
127	39938	40	85	78	68
127	39938	13	9	9	10
127	39938	120	58	216	131
157	39938	10	1	3	5
159	39938	9	2	12	8
159	39938	10	1	12	8
128	39940	203	217	133	184
129	39940	1466	1167	1123	1252
129	39940	536	711	2162	1136
129	39940	1776	1289	972	1346
143	39941	137	400	53	197
145	39941	1834	648	276	919
152	39941	88	23	6	39
153	39941	358	99	146	201
153	39941	96	124	40	87
153	39941	69	69	50	63
153	39941	148	96	51	98
153	39941	20	62	28	37
153	39941	30	35	27	31
154	39941	112	38	25	58
154	39941	147	42	27	72
156	39941	31	12	3	15
156	39941	0	0	0	0
147A	39941	57	39	24	40
164T	39941	0	0	0	0
143	39942	799	214	82	365
145	39942	99	36	21	52
164T	39944	0	0	0	0
128	39945	76	71	41	63
129	39945	162	352	98	204
129	39945	0	1	4	2
129	39945	6	1	23	10
131	39945	30	25	8	21
131	39945	4	7	3	5
131	39945	8	7	4	6
132	39945	71	25	17	38
133	39945	53	77	85	72
133	39945	35	66	41	47
133	39945	40	24	40	35
153	39945	256	265	402	308
153	39945	31	35	29	32
153	39945	27	30	17	25
154	39945	50	13	1	21
164	39945	0	0	0	0
164	39945	0	0	0	0
147A	39945	10	2	12	8
147A	39945	196	121	37	118
164	39946	0	0	0	0
164	39946	0	0	0	0
147A	39946	372	254	413	346
147A	39946	305	254	187	249
126	39947	127	89	57	91
127	39947	27	5	0	11
127	39947	13	17	55	28
127	39947	36	17	12	22
152	39947	17	44	2	21
153	39947	45	185	32	87
153	39947	13	210	75	99
153	39947	39	60	29	43
154	39947	143	93	47	94
156	39947	4	3	1	3
156	39947	149	269	198	205
157	39947	63	42	7	37
159	39947	4	0	1	2
159	39947	39	3	22	21
164	39947	0	0	0	0
164	39947	0	0	0	0
164	39947	0	0	0	0
164	39947	0	0	0	0
147A	39947	24	8	3	12
147A	39947	46	41	37	41
147A	39947	24	8	3	12
147A	39947	46	41	37	41
128	39948	156	128	57	114
129	39948	165	118	76	120
129	39948	597	3685	977	1753
129	39948	145	167	203	172
131	39948	35	6	13	18
131	39948	29	49	46	41
131	39948	2	1	2	2
134	39948	278	212	119	203
135	39948	28	8	6	14
135	39948	30	18	10	19
135	39948	57	40	47	48
152	39948	91	209	122	141
156	39948	33	3	8	15
156	39948	13	22	20	18
143	39949	253	24	25	101
145	39949	34	17	6	19
128	39951	167	123	100	130
129	39951	4312	4549	4486	4449
129	39951	1848	1901	1768	1839
129	39951	595	696	530	607
131	39951	14	6	4	8
131	39951	32	94	54	60
131	39951	8	6	10	8
134	39951	31	18	10	20
135	39951	24	7	2	11
135	39951	3	2	1	2
135	39951	57	66	87	70
152	39951	35	25	10	23
156	39951	8	4	297	103
156	39951	1	4	2	2
143	39952	24	85	18	42
145	39952	15	2	5	7
152	39952	107	98	106	104
128	39953	29	24	18	24
129	39953	352	310	203	288
129	39953	119	47	34	67
129	39953	9	46	41	32
131	39953	145	170	96	137
131	39953	28	28	8	21
131	39953	3	37	14	18
132	39953	184	103	58	115
133	39953	121	68	37	75
133	39953	167	93	77	112
133	39953	41	31	72	48
153	39953	86	106	72	88
153	39953	149	61	36	82
153	39953	89	117	70	92
154	39953	74	27	9	37
126	39954	315	183	137	212
127	39954	102	66	67	78
127	39954	35	22	38	32
127	39954	9	11	13	11
132	39954	134	48	30	71
132	39954	134	48	30	71
133	39954	50	36	27	38
133	39954	93	66	68	76
133	39954	20	20	10	17
133	39954	50	36	27	38
133	39954	93	66	68	76
133	39954	20	20	10	17
153	39954	232	281	94	202
153	39954	58	30	32	40
153	39954	8	15	27	17
154	39954	359	273	189	274
157	39954	53	38	58	50
159	39954	144	279	394	272
159	39954	116	253	435	268
164	39954	2	0	0	1
164	39954	13	12	8	11
147A	39954	58	26	8	31
147A	39954	223	303	99	208
147A	39954	84	66	53	68
147A	39954	48	36	27	37
126	39955	160	88	219	156
127	39955	51	7	7	22
127	39955	7	4	4	5
127	39955	5	38	2	15
134	39955	374	290	150	271
135	39955	109	23	94	75
135	39955	26	40	9	25
135	39955	18	31	26	25
143	39955	25	5	0	10
145	39955	139	126	31	99
152	39955	114	144	159	139
153	39955	98	122	413	211
153	39955	58	29	28	38
153	39955	25	30	27	27
154	39955	122	110	109	114
156	39955	8	7	2	6
156	39955	3	5	10	6
157	39955	150	179	54	128
159	39955	1	112	0	38
159	39955	30	56	5	30
147A	39955	28	10	13	17
126	39959	158	188	83	143
127	39959	43	26	26	32
127	39959	5	2	2	3
127	39959	32	58	59	50
128	39959	11	1	1	4
128	39959	11	1	1	4
129	39959	9	14	2	8
129	39959	16	20	20	19
129	39959	1	2	0	1
129	39959	9	14	2	8
129	39959	16	20	20	19
129	39959	1	2	0	1
131	39959	112	63	10	62
131	39959	6	8	15	10
131	39959	54	7	1	21
134	39959	120	42	31	64
135	39959	18	14	6	13
135	39959	13	24	21	19
135	39959	8	9	3	7
156	39959	122	18	88	76
156	39959	50	70	8	43
164	39959	2	0	0	1
147A	39959	290	53	40	128
128	39961	169	112	87	123
129	39961	277	168	256	234
129	39961	84	18	49	50
129	39961	42	39	67	49
