Rm	Date	Read1	Read2	Read3	Mean
131	04/22/09	212	247	124	194
131	04/22/09	335	12	2	116
131	04/22/09	18	43	29	30
133	04/22/09	29	73	54	52
133	04/22/09	54	69	15	46
133	04/22/09	30	26	27	28
143	04/22/09	167	59	54	93
145	04/22/09	212	149	112	158
128	04/23/09	131	59	42	77
129	04/23/09	128	161	123	137
129	04/23/09	76	11	11	33
129	04/23/09	34	38	24	32
143	04/23/09	66	12	13	30
143	04/23/09	66	12	13	30
145	04/23/09	25	100	20	48
152	04/23/09	71	18	7	32
156	04/23/09	15	26	27	23
156	04/23/09	118	287	75	160
134	04/24/09	31	17	20	23
153	04/24/09	103	104	156	121
153	04/24/09	16	5	11	11
153	04/24/09	80	113	73	89
153	04/24/09	522	471	399	464
153	04/24/09	972	1242	1060	1091
153	04/24/09	1063	1073	918	1018
154	04/24/09	136	149	29	105
154	04/24/09	443	218	214	292
164	04/24/09	0	0	0	0
164	04/24/09	0	0	0	0
147A	04/24/09	8	35	11	18
147A	04/24/09	69	53	56	59
131	04/27/09	2	1	14	6
131	04/27/09	1	3	58	21
131	04/27/09	4	17	7	9
132	04/27/09	17	10	25	17
133	04/27/09	115	348	49	171
133	04/27/09	11	8	15	11
133	04/27/09	41	39	18	33
164	04/27/09	0	0	0	0
164	04/27/09	0	0	0	0
147A	04/27/09	41	42	59	47
147A	04/27/09	77	65	1,375	506
152	04/28/09	39	114	29	61
153	04/28/09	27	20	39	29
153	04/28/09	22	14	22	19
153	04/28/09	194	109	67	123
154	04/28/09	157	140	30	109
156	04/28/09	22	25	0	16
156	04/28/09	15	1	21	12
164	04/28/09	0	0	0	0
164	04/28/09	0	0	0	0
147A	04/28/09	25	2	5	11
147A	04/28/09	41	9	2	17
143	04/29/09	15	1	22	13
145	04/29/09	70	64	76	70
145	04/29/09	538	192	73	268
147	04/30/09	62	15	21	33
147	04/30/09	50	19	9	26
164T	04/30/09	0	0	0	0
164T	04/30/09	0	0	0	0
126	05/01/09	151	100	122	124
127	05/01/09	51	150	27	76
127	05/01/09	46	19	8	24
127	05/01/09	66	15	9	30
143	05/01/09	763	275	181	406
145	05/01/09	194	86	242	174
157	05/01/09	61	126	99	95
159	05/01/09	9	2	1	4
159	05/01/09	49	4	1	18
164	05/01/09	12	10	1	8
164	05/01/09	2	0	0	1
147A	05/01/09	265	214	202	227
147A	05/01/09	268	150	63	160
128	05/02/09	159	127	74	120
129	05/02/09	196	306	178	227
129	05/02/09	598	533	165	432
129	05/02/09	57	4	3	21
134	05/02/09	268	120	76	155
135	05/02/09	1076	419	186	560
135	05/02/09	36	70	31	46
135	05/02/09	53	31	38	41
131	05/04/09	8	2	3	4
131	05/04/09	24	79	36	46
131	05/04/09	32	14	4	17
132	05/04/09	75	32	18	42
133	05/04/09	14	18	6	13
133	05/04/09	32	7	6	15
133	05/04/09	50	29	13	31
126	05/05/09	150	281	185	205
127	05/05/09	40	85	78	68
127	05/05/09	13	9	9	10
127	05/05/09	120	58	216	131
157	05/05/09	10	1	3	5
159	05/05/09	9	2	12	8
159	05/05/09	10	1	12	8
128	05/07/09	203	217	133	184
129	05/07/09	1466	1167	1123	1252
129	05/07/09	536	711	2162	1136
129	05/07/09	1776	1289	972	1346
143	05/08/09	137	400	53	197
145	05/08/09	1834	648	276	919
152	05/08/09	88	23	6	39
153	05/08/09	358	99	146	201
153	05/08/09	96	124	40	87
153	05/08/09	69	69	50	63
153	05/08/09	148	96	51	98
153	05/08/09	20	62	28	37
153	05/08/09	30	35	27	31
154	05/08/09	112	38	25	58
154	05/08/09	147	42	27	72
156	05/08/09	31	12	3	15
156	05/08/09	0	0	0	0
147A	05/08/09	57	39	24	40
164T	05/08/09	0	0	0	0
143	05/09/09	799	214	82	365
145	05/09/09	99	36	21	52
164T	05/11/09	0	0	0	0
128	05/12/09	76	71	41	63
129	05/12/09	162	352	98	204
129	05/12/09	0	1	4	2
129	05/12/09	6	1	23	10
131	05/12/09	30	25	8	21
131	05/12/09	4	7	3	5
131	05/12/09	8	7	4	6
132	05/12/09	71	25	17	38
133	05/12/09	53	77	85	72
133	05/12/09	35	66	41	47
133	05/12/09	40	24	40	35
143	05/12/09	4380			4380
143	05/12/09	6			6
143	05/12/09	21			21
143	05/12/09	2			2
145	05/12/09	328			328
145	05/12/09	256			256
145	05/12/09	133			133
153	05/12/09	256	265	402	308
153	05/12/09	31	35	29	32
153	05/12/09	27	30	17	25
154	05/12/09	50	13	1	21
164	05/12/09	0	0	0	0
164	05/12/09	0	0	0	0
147A	05/12/09	10	2	12	8
147A	05/12/09	196	121	37	118
164	05/13/09	0	0	0	0
164	05/13/09	0	0	0	0
147A	05/13/09	372	254	413	346
147A	05/13/09	305	254	187	249
126	05/14/09	127	89	57	91
127	05/14/09	27	5	0	11
127	05/14/09	13	17	55	28
127	05/14/09	36	17	12	22
152	05/14/09	17	44	2	21
153	05/14/09	45	185	32	87
153	05/14/09	13	210	75	99
153	05/14/09	39	60	29	43
154	05/14/09	143	93	47	94
156	05/14/09	4	3	1	3
156	05/14/09	149	269	198	205
157	05/14/09	63	42	7	37
159	05/14/09	4	0	1	2
159	05/14/09	39	3	22	21
164	05/14/09	0	0	0	0
164	05/14/09	0	0	0	0
164	05/14/09	0	0	0	0
164	05/14/09	0	0	0	0
147A	05/14/09	24	8	3	12
147A	05/14/09	46	41	37	41
147A	05/14/09	24	8	3	12
147A	05/14/09	46	41	37	41
128	05/15/09	156	128	57	114
129	05/15/09	165	118	76	120
129	05/15/09	597	3685	977	1753
129	05/15/09	145	167	203	172
131	05/15/09	35	6	13	18
131	05/15/09	29	49	46	41
131	05/15/09	2	1	2	2
134	05/15/09	278	212	119	203
135	05/15/09	28	8	6	14
135	05/15/09	30	18	10	19
135	05/15/09	57	40	47	48
152	05/15/09	91	209	122	141
156	05/15/09	33	3	8	15
156	05/15/09	13	22	20	18
143	05/16/09	253	24	25	101
145	05/16/09	34	17	6	19
128	05/18/09	167	123	100	130
129	05/18/09	4312	4549	4486	4449
129	05/18/09	1848	1901	1768	1839
129	05/18/09	595	696	530	607
131	05/18/09	14	6	4	8
131	05/18/09	32	94	54	60
131	05/18/09	8	6	10	8
134	05/18/09	31	18	10	20
135	05/18/09	24	7	2	11
135	05/18/09	3	2	1	2
135	05/18/09	57	66	87	70
152	05/18/09	35	25	10	23
156	05/18/09	8	4	297	103
156	05/18/09	1	4	2	2
143	05/19/09	24	85	18	42
145	05/19/09	15	2	5	7
152	05/19/09	107	98	106	104
128	05/20/09	29	24	18	24
129	05/20/09	352	310	203	288
129	05/20/09	119	47	34	67
129	05/20/09	9	46	41	32
