Rm Date	TAMC
126	39819	1
127	39819	0
127	39819	0
127	39819	0
143	39819	0
143	39819	0
143	39819	0
143	39819	0
157	39819	0
157	39819	0
157	39819	0
159	39819	0
159	39819	0
159	39819	0
159	39819	0
159	39819	0
159	39819	0
159	39819	0
159	39819	0
143	39821	0
152	39821	1
153	39821	0
154	39821	0
154	39821	0
154	39821	0
156	39821	0
156	39821	0
156	39821	0
128	39822	1
129	39822	0
129	39822	0
129	39822	0
129	39822	1
131	39822	0
131	39822	1
131	39822	0
133	39822	0
133	39822	0
134	39822	2
135	39822	0
135	39822	0
135	39822	0
135	39822	25
128	39825	0
129	39825	0
129	39825	0
129	39825	0
129	39825	2
126	39826	0
126	39826	0
159	39826	0
159	39826	1
159	39826	0
159	39826	0
159	39826	0
159	39826	0
159	39826	0
159	39826	0
131	39828	0
131	39828	0
131	39828	0
133	39828	0
133	39828	0
143	39829	0
152	39829	2
153	39829	0
153	39829	0
156	39829	0
152	39832	3
153	39832	0
153	39832	0
156	39832	0
128	39833	0
129	39833	0
129	39833	0
129	39833	0
129	39833	10
134	39833	1
135	39833	1
135	39833	0
135	39833	0
126	39834	0
127	39834	0
127	39834	0
127	39834	0
157	39834	0
157	39834	0
157	39834	0
159	39834	0
159	39834	0
159	39834	0
159	39834	0
159	39834	0
159	39834	0
159	39834	0
159	39834	0
143	39835	0
131	39836	1
131	39836	0
131	39836	0
131	39836	0
131	39836	0
131	39836	0
133	39836	0
133	39836	0
143	39836	0
131	39839	0
131	39839	0
131	39839	0
133	39839	0
133	39839	0
152	39840	0
153	39840	0
153	39840	0
156	39840	0
143	39841	0
126	39842	1
127	39842	0
127	39842	0
127	39842	0
157	39842	0
157	39842	0
157	39842	0
159	39842	0
159	39842	0
159	39842	0
159	39842	0
159	39842	0
159	39842	0
159	39842	0
159	39842	0
128	39843	4
129	39843	0
129	39843	0
129	39843	0
129	39843	2
135	39843	0
135	39843	0
135	39843	0
143	39843	1
133	39847	0
133	39847	0
142	39847	0
142	39847	0
142	39847	0
142	39847	0
152	39848	0
153	39848	0
153	39848	0
156	39848	0
126	39849	2
127	39849	0
127	39849	0
127	39849	0
135	39849	2
135	39849	0
135	39849	0
143	39849	0
145	39849	0
128	39850	6
129	39850	1
129	39850	0
129	39850	2
143	39850	0
157	39850	0
157	39850	0
157	39850	0
159	39850	0
159	39850	0
159	39850	0
159	39850	0
159	39850	0
159	39850	0
159	39850	0
159	39850	0
126	39853	0
