GRP	ROOM	CLASS	DATE	MEAS	PARAM	SITE	BLOCK	REP	RES
FF	504	ISO8	1/5/2012	TP	0.5	A1	1	1	44
FF	504	ISO8	1/9/2012	TP	0.5	A1	1	1	3
FF	504	ISO8	1/19/2012	TP	0.5	A1	1	1	87
FF	504	ISO8	1/27/2012	TP	0.5	A1	1	1	0
FF	504	ISO8	1/30/2012	TP	0.5	A1	1	1	309
FF	504	ISO8	2/10/2012	TP	0.5	A1	1	1	123
FF	504	ISO8	2/16/2012	TP	0.5	A1	1	1	9
FF	504	ISO8	2/20/2012	TP	0.5	A1	1	1	0
FF	504	ISO8	3/4/2012	TP	0.5	A1	1	1	NA
FF	504	ISO8	3/6/2012	TP	0.5	A1	1	1	55
FF	504	ISO8	3/12/2012	TP	0.5	A1	1	1	21
FF	504	ISO8	3/24/2012	TP	0.5	A1	1	1	83
FF	504	ISO8	3/30/2012	TP	0.5	A1	1	1	0
FF	504	ISO8	1/5/2012	TP	5	A1	1	1	9
FF	504	ISO8	1/9/2012	TP	5	A1	1	1	0
FF	504	ISO8	1/19/2012	TP	5	A1	1	1	11
FF	504	ISO8	1/27/2012	TP	5	A1	1	1	0
FF	504	ISO8	1/30/2012	TP	5	A1	1	1	28
FF	504	ISO8	2/10/2012	TP	5	A1	1	1	12
FF	504	ISO8	2/16/2012	TP	5	A1	1	1	1
FF	504	ISO8	2/20/2012	TP	5	A1	1	1	0
FF	504	ISO8	3/4/2012	TP	5	A1	1	1	NA
FF	504	ISO8	3/6/2012	TP	5	A1	1	1	5
FF	504	ISO8	3/12/2012	TP	5	A1	1	1	2
FF	504	ISO8	3/24/2012	TP	5	A1	1	1	12
FF	504	ISO8	3/30/2012	TP	5	A1	1	1	0
FF	504	ISO8	1/5/2012	TP	0.5	A1	1	2	20
FF	504	ISO8	1/9/2012	TP	0.5	A1	1	2	2
FF	504	ISO8	1/19/2012	TP	0.5	A1	1	2	21
FF	504	ISO8	1/27/2012	TP	0.5	A1	1	2	0
FF	504	ISO8	1/30/2012	TP	0.5	A1	1	2	96
FF	504	ISO8	2/10/2012	TP	0.5	A1	1	2	47
FF	504	ISO8	2/16/2012	TP	0.5	A1	1	2	14
FF	504	ISO8	2/20/2012	TP	0.5	A1	1	2	1
FF	504	ISO8	3/4/2012	TP	0.5	A1	1	2	NA
FF	504	ISO8	3/6/2012	TP	0.5	A1	1	2	9
FF	504	ISO8	3/12/2012	TP	0.5	A1	1	2	4
FF	504	ISO8	3/24/2012	TP	0.5	A1	1	2	22
FF	504	ISO8	3/30/2012	TP	0.5	A1	1	2	0
FF	504	ISO8	1/5/2012	TP	5	A1	1	2	6
FF	504	ISO8	1/9/2012	TP	5	A1	1	2	0
FF	504	ISO8	1/19/2012	TP	5	A1	1	2	0
FF	504	ISO8	1/27/2012	TP	5	A1	1	2	0
FF	504	ISO8	1/30/2012	TP	5	A1	1	2	3
FF	504	ISO8	2/10/2012	TP	5	A1	1	2	1
FF	504	ISO8	2/16/2012	TP	5	A1	1	2	1
FF	504	ISO8	2/20/2012	TP	5	A1	1	2	0
FF	504	ISO8	3/4/2012	TP	5	A1	1	2	NA
FF	504	ISO8	3/6/2012	TP	5	A1	1	2	1
FF	504	ISO8	3/12/2012	TP	5	A1	1	2	0
FF	504	ISO8	3/24/2012	TP	5	A1	1	2	10
FF	504	ISO8	3/30/2012	TP	5	A1	1	2	0
FF	504	ISO8	1/5/2012	TP	0.5	A1	1	3	24
FF	504	ISO8	1/9/2012	TP	0.5	A1	1	3	1
FF	504	ISO8	1/19/2012	TP	0.5	A1	1	3	7
FF	504	ISO8	1/27/2012	TP	0.5	A1	1	3	0
FF	504	ISO8	1/30/2012	TP	0.5	A1	1	3	19
FF	504	ISO8	2/10/2012	TP	0.5	A1	1	3	22
FF	504	ISO8	2/16/2012	TP	0.5	A1	1	3	2
FF	504	ISO8	2/20/2012	TP	0.5	A1	1	3	2
FF	504	ISO8	3/4/2012	TP	0.5	A1	1	3	NA
FF	504	ISO8	3/6/2012	TP	0.5	A1	1	3	8
FF	504	ISO8	3/12/2012	TP	0.5	A1	1	3	3
FF	504	ISO8	3/24/2012	TP	0.5	A1	1	3	9
FF	504	ISO8	3/30/2012	TP	0.5	A1	1	3	0
FF	504	ISO8	1/5/2012	TP	5	A1	1	3	7
FF	504	ISO8	1/9/2012	TP	5	A1	1	3	0
FF	504	ISO8	1/19/2012	TP	5	A1	1	3	1
FF	504	ISO8	1/27/2012	TP	5	A1	1	3	0
FF	504	ISO8	1/30/2012	TP	5	A1	1	3	0
FF	504	ISO8	2/10/2012	TP	5	A1	1	3	2
FF	504	ISO8	2/16/2012	TP	5	A1	1	3	0
FF	504	ISO8	2/20/2012	TP	5	A1	1	3	0
FF	504	ISO8	3/4/2012	TP	5	A1	1	3	NA
FF	504	ISO8	3/6/2012	TP	5	A1	1	3	1
